Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cyclists,Daylight,11,11:00-11:59,17,17:00-17:59,16557.370493900584,22029.109499251135,3,0.6397584473743576,0.8302700376135838,0.7516132458492564,483330,81538,219074,27923,13542,0.7555356059546681,0.5191496038701627
Cyclists,Daylight,11,11:00-11:59,18,18:00-18:59,27797.740009983307,38395.94034462076,3,0.5837693168508837,0.776509717159284,0.7239760183104365,253845,139233,176857,70140,13542,0.7230526803206918,0.12769996085694896
Cyclists,Daylight,11,11:00-11:59,19,19:00-19:59,28326.007894870367,37878.971072337146,3,0.636709249921058,0.8434545023956481,0.7478029918177209,136791,147848,137053,109944,13542,0.7422070196456296,0.7539637896126494
Cyclists,Daylight,11,11:00-11:59,20,20:00-20:59,23806.17966469295,29266.303242543545,3,0.5603948609216652,0.9075430654497028,0.8134330963292559,72715,148139,94010,152987,13542,0.7987945176553937,1.8325837684551312
Cyclists,Daylight,12,12:00-12:59,5,05:00-05:59,19271.290549205747,17657.152847403097,3,0.41759600985227613,2.3297320315210186,1.0914155139139523,53051,58383,127295,145274,13542,1.0370118438059661,5.2461956372954965
Cyclists,Daylight,12,12:00-12:59,6,06:00-06:59,34841.97643736828,20169.749121012046,3,0.8946856128219554,2.8589924152239687,1.7274372739257602,192960,64350,175249,97320,13542,1.665195739273185,3.7377908905617256
Cyclists,Daylight,12,12:00-12:59,17,17:00-17:59,19437.761228269836,23251.947888436807,3,0.6903935926668598,0.950664999971927,0.8359627039219539,483330,81538,238824,33745,13542,0.8375585227064778,0.19053221252732877
Cyclists,Daylight,12,12:00-12:59,18,18:00-18:59,32015.602947467785,39344.9676793635,3,0.6391305379958024,0.8974605042299246,0.8137153195390782,253845,139233,188623,83946,13542,0.8113939996902214,0.28609033955673785
Cyclists,Daylight,12,12:00-12:59,19,19:00-19:59,31710.807071939984,37882.68081430918,3,0.6683057721559179,0.980431877550406,0.8370792771340045,136791,147848,143611,128958,13542,0.8308117942441299,0.7543805869507187
Cyclists,Daylight,12,12:00-12:59,20,20:00-20:59,25834.32209685345,28737.780591791052,3,0.574179346013844,1.0390143499958082,0.8989671980526265,72715,148139,97260,175309,13542,0.8847580993817321,1.6059868432765603
Cyclists,Daylight,13,13:00-13:59,5,05:00-05:59,19939.093291445155,17802.179086918775,3,0.424407093856241,2.513101680752685,1.1200366648427038,53051,58383,127927,152556,13542,1.083613095660548,3.361307585522734
Cyclists,Daylight,13,13:00-13:59,6,06:00-06:59,36835.489062797256,20355.575507136044,3,0.9040253220855949,3.137951980741327,1.8096019466451854,192960,64350,176518,103965,13542,1.766106541007673,2.4627849242150184
Cyclists,Daylight,13,13:00-13:59,17,17:00-17:59,20809.88177387684,23632.900251418698,3,0.6999572211303557,1.0339956088418498,0.8805470996996118,483330,81538,243997,36486,13542,0.886391259376185,0.6593205443706878
Cyclists,Daylight,13,13:00-13:59,18,18:00-18:59,34019.383698795515,39279.85022265276,3,0.6477798220285454,0.970421343534959,0.866077225497581,253845,139233,190284,90199,13542,0.8642231252472723,0.21453953222765781
Cyclists,Daylight,13,13:00-13:59,19,19:00-19:59,33166.53018342788,37510.11708784408,3,0.6794587573191386,1.068246827629354,0.8842022568406294,136791,147848,143814,136669,13542,0.8792470529888247,0.5635735525027324
Cyclists,Daylight,13,13:00-13:59,20,20:00-20:59,26528.66511918701,28567.464277457875,3,0.5940577798459014,1.111370064580253,0.9286321271475405,72715,148139,97848,182635,13542,0.9161923381909031,1.3577704634815901
